_id,Produto,Categoria do Produto,Preço,Frete,Data da Compra,Vendedor,Local da compra,Avaliação da compra,Tipo de pagamento,Quantidade de parcelas,Latitude,Longitude
67d9823a3204867a78902765,Xadrez de madeira,brinquedos,25.23,0.0,2021-01-01,Thiago Silva,BA,5,cartao_credito,2,-13.29,-41.71
67d9823a3204867a78902766,Impressora,eletronicos,322.04,14.7321002401,2021-01-01,João Souza,SP,3,cartao_credito,1,-22.19,-48.79
67d9823a3204867a78902767,Mesa de centro,moveis,282.22,12.6118050347,2021-01-01,João Souza,SP,3,boleto,1,-22.19,-48.79
67d9823a3204867a78902768,Tablet ABXY,eletronicos,1100.42,68.4513476183,2021-01-01,Beatriz Moraes,SP,1,cupom,1,-22.19,-48.79
67d9823a3204867a78902769,Fogão,eletrodomesticos,791.81,42.4446263246,2021-01-01,Juliana Costa,SP,4,boleto,1,-22.19,-48.79
67d9823a3204867a7890276a,Violão,instrumentos musicais,316.84,17.1595536296,2022-01-01,Pedro Gomes,SP,5,cartao_credito,2,-22.19,-48.79
67d9823a3204867a7890276b,Geladeira,eletrodomesticos,2322.94,121.2740057251,2022-01-01,Thiago Silva,RS,5,cartao_credito,10,-30.17,-53.5
67d9823a3204867a7890276c,Secadora de roupas,eletrodomesticos,1893.04,107.1782993366,2022-01-01,Beatriz Moraes,PR,4,cartao_credito,2,-24.89,-51.55
67d9823a3204867a7890276d,Jogo de copos,utilidades domesticas,37.44,2.8819825404,2022-01-01,Thiago Silva,RJ,4,cartao_credito,4,-22.25,-42.66
67d9823a3204867a7890276e,Blocos de montar,brinquedos,36.84,0.0,2022-01-01,Pedro Gomes,SP,4,boleto,1,-22.19,-48.79
67d9823a3204867a7890276f,Iniciando em programação,livros,63.25,3.894137208,2022-01-01,Juliana Costa,RJ,5,cartao_credito,4,-22.25,-42.66
67d9823a3204867a78902770,Fogão,eletrodomesticos,607.49,33.2354300998,2022-01-01,Juliana Costa,MG,5,cartao_credito,3,-18.1,-44.38
67d9823a3204867a78902771,Bola de vôlei,esporte e lazer,75.11,1.5838206052,2022-01-01,Isabella Pereira,SP,5,cartao_credito,1,-22.19,-48.79
67d9823a3204867a78902772,Bateria,instrumentos musicais,1031.24,55.199204426,2023-01-01,Bruno Rodrigues,BA,5,boleto,1,-13.29,-41.71
67d9823a3204867a78902773,Boneca bebê,brinquedos,50.72,3.2317919389,2023-01-01,Isabella Pereira,SP,4,boleto,1,-22.19,-48.79
67d9823a3204867a78902774,Sofá retrátil,moveis,888.09,51.7681594786,2023-01-01,Rafael Costa,SP,4,cartao_credito,20,-22.19,-48.79
67d9823a3204867a78902775,Pandeiro,instrumentos musicais,47.05,2.7883968633,2023-01-01,Bianca Santos,RS,5,cartao_credito,6,-30.17,-53.5
67d9823a3204867a78902776,Bicicleta,esporte e lazer,836.66,45.438043164,2023-01-01,Larissa Alves,SP,5,cartao_credito,1,-22.19,-48.79
67d9823a3204867a78902777,Xadrez de madeira,brinquedos,44.82,3.2749453383,2023-01-01,Bianca Santos,PR,5,cupom,1,-24.89,-51.55
67d9823a3204867a7890277b,Micro-ondas,eletrodomesticos,1035.84,55.6864683002,2021-02-01,Felipe Santos,SP,2,cartao_credito,6,-22.19,-48.79
67d9823a3204867a7890277c,Cama king,moveis,660.46,35.4506339784,2021-02-01,Juliana Costa,RJ,5,cartao_credito,3,-22.25,-42.66
67d9823a3204867a7890277d,Ciência de dados com python,livros,86.13,5.2731755368,2021-02-01,Camila Ribeiro,RJ,4,cartao_credito,3,-22.25,-42.66
67d9823a3204867a7890277e,Guitarra,instrumentos musicais,957.84,51.5283634201,2021-02-01,Isabella Pereira,SP,5,cartao_credito,1,-22.19,-48.79
67d9823a3204867a7890277f,Ciência de dados com python,livros,72.75,1.458157705,2021-02-01,Beatriz Moraes,PR,4,cartao_credito,2,-24.89,-51.55
67d9823a3204867a78902780,Cama box,moveis,819.22,43.9041263642,2021-02-01,Felipe Santos,SP,5,cartao_credito,4,-22.19,-48.79
67d9823a3204867a78902781,Headset,eletronicos,340.22,15.7001305473,2021-02-01,Thiago Silva,SP,2,cupom,1,-22.19,-48.79
67d9823a3204867a78902782,Iniciando em programação,livros,61.73,0.0,2021-02-01,Beatriz Moraes,SP,4,cartao_credito,1,-22.19,-48.79
67d9823a3204867a78902783,Jogo de panelas,utilidades domesticas,126.59,4.3249757326,2021-02-01,Juliana Costa,RS,1,cartao_credito,3,-30.17,-53.5
67d9823a3204867a78902784,Guitarra,instrumentos musicais,1158.33,62.2086923009,2022-02-01,Bruno Rodrigues,SP,4,cartao_credito,2,-22.19,-48.79
67d9823a3204867a78902785,Dashboards com Power BI,livros,57.63,9.3105595123,2022-02-01,Bianca Santos,SP,3,cartao_credito,1,-22.19,-48.79
67d9823a3204867a78902786,Copo térmico,esporte e lazer,50.31,0.0,2022-02-01,Beatriz Moraes,RJ,1,cartao_credito,2,-22.25,-42.66
67d9823a3204867a78902787,Corda de pular,esporte e lazer,21.88,0.0,2022-02-01,Larissa Alves,SC,5,cartao_credito,5,-27.45,-50.95
67d9823a3204867a78902788,Mesa de jantar,moveis,264.63,14.6218559113,2022-02-01,Thiago Silva,MG,5,cartao_credito,4,-18.1,-44.38
67d9823a3204867a78902789,Ciência de dados com python,livros,79.28,1.8058605601,2022-02-01,Lucas Oliveira,SP,5,cartao_credito,1,-22.19,-48.79
67d9823a3204867a7890278a,Bicicleta,esporte e lazer,520.28,27.9864706964,2022-02-01,Rafael Costa,SP,5,cartao_credito,5,-22.19,-48.79
67d9823a3204867a7890278b,Mochila,esporte e lazer,147.99,5.4644613527,2022-02-01,João Souza,SP,4,boleto,1,-22.19,-48.79
67d9823a3204867a7890278c,Poltrona,moveis,251.37,10.969135344,2022-02-01,Isabella Pereira,AL,4,boleto,1,-9.62,-36.82
67d9823a3204867a7890278d,Dashboards com Power BI,livros,41.76,2.7546988942,2022-02-01,Juliana Costa,SP,5,cartao_credito,1,-22.19,-48.79
67d9823a3204867a7890278e,Ciência de dados com python,livros,82.15,1.958679426,2023-02-01,Bianca Santos,SP,5,cartao_credito,2,-22.19,-48.79
67d9823a3204867a7890278f,Smartwatch,eletronicos,184.84,17.9198218199,2023-02-01,Lucas Oliveira,BA,4,cartao_credito,3,-13.29,-41.71
67d9823a3204867a78902790,Bola de vôlei,esporte e lazer,55.1,3.2170351457,2023-02-01,Bianca Santos,SP,1,cartao_credito,4,-22.19,-48.79
67d9823a3204867a78902791,Cômoda,moveis,417.02,19.7894995019,2023-02-01,Felipe Santos,PR,5,cartao_credito,2,-24.89,-51.55
67d9823a3204867a78902792,Fone de ouvido,eletronicos,108.12,6.6969125635,2023-02-01,Beatriz Moraes,PR,4,cartao_credito,5,-24.89,-51.55
67d9823a3204867a78902793,Lava louças,eletrodomesticos,1702.95,88.2614034053,2023-02-01,João Souza,PR,2,cartao_credito,10,-24.89,-51.55
67d9823a3204867a78902794,TV Led UHD 4K,eletronicos,2404.01,125.5907393338,2023-02-01,Pedro Gomes,MG,5,cartao_credito,2,-18.1,-44.38
67d9823a3204867a78902795,Modelagem preditiva,livros,70.49,1.337819504,2023-02-01,Isabella Pereira,PE,4,cupom,1,-8.38,-37.86
